path	added	removed	stage	status	evidence
codex-rs/tui/src/chatwidget/settings_popups.rs	2	0	P5	pending	
codex-rs/tui/src/chatwidget/slash_dispatch.rs	54	0	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__chatwidget_exec_and_status_layout_vt100_snapshot.snap	1	1	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__chatwidget_tall.snap	1	1	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__compact_queues_user_messages_snapshot.snap	1	1	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__esc_interrupt_goal_paused_footer.snap	1	1	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__experimental_features_popup.snap	14	6	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__experimental_features_popup_configured_key_chords.snap	2	2	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__image_generation_begin_restores_working_status.snap	1	1	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__model_picker_filters_hidden_models.snap	1	1	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__model_selection_popup.snap	1	1	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__preamble_keeps_working_status.snap	1	1	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__reasoning_delta_restores_recreated_status_indicator.snap	1	1	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__review_queues_user_messages_snapshot.snap	1	1	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__slash_side_requests_forked_side_question_while_task_running.snap	1	1	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__spine_tree_command_hidden_when_disabled.snap	7	0	P5	pending	
codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__spine_tree_command_visible_when_enabled.snap	7	0	P5	pending	
